,name,review_anger,review_fear,review_joy,review_sadness,review_analytical,review_confident,review_tentative,review_title_anger,review_title_fear,review_title_joy,review_title_sadness,review_title_analytical,review_title_confident,review_title_tentative
56,Best Western Hotel Goldenmile Milan,0.0,0.0,0.707616888888889,0.710253,0.6566006666666667,0.7479624,0.0,0.0,0.0,0.73156175,0.0,0.907747,0.0,0.0
57,Best Western Knoxville Suites,0.0,0.6289483333333333,0.7584872982456137,0.6290583333333334,0.7140903333333333,0.8351246666666666,0.7692309999999999,0.0,0.0,0.767738,0.0,0.920855,0.8255872,0.8222309999999999
58,Best Western Owasso Inn & Suites,0.0,0.0,0.6647447142857141,0.621688,0.7117156,0.7835396666666666,0.7695318571428571,0.0,0.0,0.7151331249999999,0.6577569999999999,0.9689605,0.0,0.91961
59,Best Western Plus Arlington North Hotel and Suites,0.5947495,0.5879570000000001,0.7367524166666667,0.6173985,0.6553532307692309,0.8674438076923077,0.785216909090909,0.0,0.0,0.8089534242424241,0.506538,0.7744563333333333,0.957001,0.9453124
60,Best Western Plus French Quarter Landmark Hotel,0.6588760000000001,0.5907586666666667,0.7463581,0.5664638888888889,0.6895612191780823,0.807341747252747,0.7316856122448981,0.0,0.509918,0.7929817638888886,0.7281880000000001,0.8165530833333333,0.9301058999999998,0.9397541428571429
61,Best Western Plus Kelly Inn,0.62376,0.642548,0.7326071022727271,0.6371354444444445,0.6433565,0.8559574200000002,0.7819058499999999,0.0,0.0,0.7616828709677419,0.8330620000000001,0.7219220000000001,0.9193972222222221,0.7863725
62,Best Western Plus San Marcos Inn,0.0,0.0,0.7403613222222224,0.5695024285714286,0.7101970967741936,0.7918483902439024,0.7593261666666665,0.0,0.5558890000000001,0.7199208709677419,0.779331,0.9310125,0.9585940000000001,0.9081112000000001
63,Best Western Plus Waterville Grand Hotel,0.5859544999999999,0.5530247500000001,0.7423598418604653,0.616681375,0.7048245357142859,0.8398357931034481,0.7931055238095236,0.8594440000000001,0.931034,0.7516111543624165,0.7411689565217393,0.786773225,0.9026466499999998,0.8530552173913044
64,Best Western Plus-seaport Inn,0.7726310000000001,0.0,0.8187296666666667,0.0,0.5735210000000001,0.7266130000000001,0.920576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Best Western Saint-etienne Aeroport,0.0,0.0,0.6800331999999999,0.0,0.7217870000000001,0.7943985,0.7862206666666666,0.0,0.0,0.6181891666666668,0.0,0.687768,0.0,0.968123
66,Best Western Silicon Valley Inn,0.0,0.525087,0.7270319117647058,0.5208295000000001,0.6941185263157896,0.8258673124999999,0.805346642857143,0.0,0.0,0.7825622083333332,0.0,0.8822840000000001,0.8234325,0.0
67,Best Western University Inn & Suites,0.0,0.0,0.7478825,0.594696,0.7171603571428573,0.7907568125000001,0.751150125,0.0,0.0,0.7085625833333334,0.634234,0.6938085000000002,0.8983270000000001,0.8222309999999999
68,Best Western of Long Beach,0.6052486666666667,0.6383582499999999,0.7227234009216585,0.5722704642857143,0.71052475,0.7973438017241375,0.7647611388888892,0.0,0.6773890000000001,0.7238289772727269,0.6463835,0.7752652333333334,0.9265604999999999,0.8151068888888889
69,Big Mountain Lodge,0.0,0.0,0.720464393939394,0.578346,0.7029394615384615,0.8994518571428571,0.7139687499999999,0.0,0.0,0.7760653157894736,0.7779940000000001,0.796502875,0.8785890000000001,0.0
70,Blue Boar Inn,0.670717,0.678459,0.7336885,0.577486,0.5452346666666666,0.753351,0.661442,0.584371,0.0,0.7992494,0.0,0.8130649999999999,0.8678246666666666,0.8566219999999999
71,Blue Jay Motel,0.0,0.0,0.70044444,0.582815,0.63325925,0.8022146923076924,0.7773041111111111,0.0,0.0,0.8077584545454545,0.0,0.0,0.942582,0.0
72,Blue Top Inn,0.0,0.0,0.6718089999999999,0.0,0.6870376666666668,0.755715,0.0,0.553558,0.0,0.7229835,0.0,0.0,0.961633,0.994446
73,Boardroom Motel,0.584097,0.558431,0.6614581666666667,0.6261966666666666,0.741794,0.7717340000000001,0.8143415,0.0,0.0,0.8157095999999999,0.0,0.842108,0.0,0.0
74,Body Tuneup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Boiling Springs Resort Canoe Rental,0.542046,0.0,0.713001,0.0,0.5908465,0.7810729999999999,0.0,0.559427,0.0,0.946801,0.0,0.0,0.0,0.0
76,Bosselmans Pump Pantry Motel,0.0,0.0,0.649057,0.0,0.7937175,0.0,0.71572,0.0,0.0,0.6084,0.0,0.0,0.0,0.0
77,Brasstown Valley Golf Club,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Breakers Hotel,0.626019,0.0,0.0,0.579106,0.6915665,0.76037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Briarcliff,0.0,0.0,0.8102630909090909,0.0,0.51064,0.799369,0.8082020000000001,0.0,0.0,0.8376210000000001,0.0,0.620279,0.942582,0.0
80,Bridgetown Mill House Restaurant Inn,0.0,0.514513,0.6836995,0.5776485,0.8039040000000001,0.7748008000000001,0.79414575,0.0,0.0,0.7493658571428572,0.76477,0.8684670000000001,0.0,0.0
81,Brightwood Inn Country Inn,0.521917,0.0,0.8380821999999999,0.0,0.78086075,0.8173687777777777,0.730125,0.0,0.0,0.6882371,0.0,0.6138682,0.961633,0.8222309999999999
82,Brooks Donald L Jr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Brookside Motel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Budget Host,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Budget Host Inn,0.0,0.0,0.645119,0.6010166666666666,0.6817185,0.7869985,0.7978705,0.0,0.0,0.7722122857142857,0.0,0.7357895000000001,0.910228,0.0
86,Budget Inn,0.6459090000000001,0.0,0.7157387777777778,0.5043529999999999,0.6839088333333333,0.8364298571428571,0.7156687500000001,0.0,0.0,0.78727925,0.0,0.0,0.0,0.8222309999999999
87,Budget Inn South,0.0,0.0,0.53464,0.0,0.5530093333333334,0.0,0.0,0.6027560000000001,0.0,0.0,0.0,0.0,0.0,0.0
88,Busy B Ranch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Cadillac Motel,0.0,0.0,0.0,0.0,0.625997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Cal Neva Resort,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Calloway Inn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
